Java Model MCSS (Evan & Shalitha)
Rebellion
metrics.csv
Thu May 24 07:44:44 AEST 2018
min-pxcor,max-pxcor,min-pycor,max-pycor
0,39,0,39
[run number],1,1,1
government-legitimacy,0.9
movement?,true
initial-agent-density,70.0
vision,7.0
max-jail-term,30
visualization, N/A
initial-cop-density, 4.0
[reporter],JAILED,ACTIVE,QUIET,COPS
[final],
[min],
[max],
[mean],
[steps],200,200,200,
,
[all run data],JAILED,ACTIVE,QUIET,COPS,LEGIT
,126,11,983,64,0.6000000000000001
,132,5,983,64,0.6000000000000001
,130,7,983,64,0.6000000000000001
,126,11,983,64,0.6000000000000001
,126,11,983,64,0.6000000000000001
,130,7,983,64,0.6000000000000001
,129,8,983,64,0.6000000000000001
,129,8,983,64,0.6000000000000001
,125,12,983,64,0.6000000000000001
,128,9,983,64,0.6000000000000001
,126,11,983,64,0.6000000000000001
,130,7,983,64,0.6000000000000001
,128,9,983,64,0.6000000000000001
,129,8,983,64,0.6000000000000001
,131,6,983,64,0.6000000000000001
,129,8,983,64,0.6000000000000001
,128,9,983,64,0.6000000000000001
,130,7,983,64,0.6000000000000001
,127,10,983,64,0.6000000000000001
,128,9,983,64,0.6000000000000001
,123,14,983,64,0.6000000000000001
,127,10,983,64,0.6000000000000001
,130,7,983,64,0.6000000000000001
,122,15,983,64,0.6000000000000001
,128,9,983,64,0.6000000000000001
,128,9,983,64,0.6000000000000001
,133,4,983,64,0.6000000000000001
,126,11,983,64,0.6000000000000001
,129,8,983,64,0.6000000000000001
,128,9,983,64,0.6000000000000001
,130,7,983,64,0.6000000000000001
,121,16,983,64,0.6000000000000001
,125,12,983,64,0.6000000000000001
,123,14,983,64,0.6000000000000001
,129,8,983,64,0.6000000000000001
,127,10,983,64,0.6000000000000001
,132,5,983,64,0.6000000000000001
,131,6,983,64,0.6000000000000001
,130,7,983,64,0.6000000000000001
,124,13,983,64,0.6000000000000001
,132,5,983,64,0.6000000000000001
,125,12,983,64,0.6000000000000001
,128,9,983,64,0.6000000000000001
,123,14,983,64,0.6000000000000001
,129,8,983,64,0.6000000000000001
,131,6,983,64,0.6000000000000001
,130,7,983,64,0.6000000000000001
,122,15,983,64,0.6000000000000001
