JAILED,ACTIVE,QUIET,COPS
0,11,837,124
9,2,837,124
9,2,837,124
10,1,837,124
10,1,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
9,2,837,124
9,2,837,124
11,0,837,124
10,1,837,124
11,0,837,124
9,2,837,124
11,0,837,124
9,2,837,124
8,3,837,124
10,1,837,124
10,8,830,124
16,1,831,124
15,2,831,124
16,1,831,124
16,1,831,124
17,0,831,124
15,2,831,124
16,0,832,124
16,0,832,124
16,0,832,124
16,0,832,124
15,1,832,124
16,0,832,124
16,0,832,124
16,0,832,124
15,1,832,124
15,1,832,124
13,1,834,124
12,2,834,124
14,0,834,124
11,2,835,124
11,2,835,124
12,0,836,124
11,1,836,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
9,2,837,124
10,1,837,124
11,0,837,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
10,1,837,124
11,0,837,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
8,3,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
10,1,837,124
10,1,837,124
9,2,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
9,2,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
8,3,837,124
10,1,837,124
10,1,837,124
11,0,837,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
9,2,837,124
10,1,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
9,2,837,124
10,1,837,124
10,1,837,124
11,0,837,124
9,2,837,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
9,2,837,124
11,0,837,124
10,1,837,124
10,1,837,124
9,2,837,124
10,1,837,124
11,0,837,124
11,0,837,124
8,3,837,124
10,1,837,124
10,1,837,124
10,1,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
9,2,837,124
11,0,837,124
9,2,837,124
10,1,837,124
11,0,837,124
11,0,837,124
9,2,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
10,1,837,124
8,3,837,124
9,2,837,124
11,0,837,124
8,3,837,124
11,0,837,124
8,3,837,124
10,1,837,124
11,0,837,124
9,2,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
9,2,837,124
10,1,837,124
10,1,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
9,2,837,124
10,1,837,124
11,0,837,124
9,2,837,124
10,1,837,124
10,1,837,124
11,0,837,124
10,1,837,124
11,0,837,124
11,0,837,124
9,2,837,124
10,1,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
9,2,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
9,2,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
10,1,837,124
10,1,837,124
9,2,837,124
10,1,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
9,2,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
9,2,837,124
10,1,837,124
11,0,837,124
8,3,837,124
10,1,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
7,4,837,124
11,0,837,124
10,1,837,124
9,2,837,124
11,0,837,124
9,2,837,124
11,0,837,124
10,1,837,124
11,0,837,124
9,2,837,124
11,0,837,124
9,2,837,124
11,0,837,124
10,1,837,124
11,0,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
11,0,837,124
11,0,837,124
10,1,837,124
8,3,837,124
8,3,837,124
9,2,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
11,0,837,124
9,2,837,124
11,0,837,124
11,0,837,124
9,2,837,124
9,2,837,124
11,0,837,124
11,0,837,124
10,1,837,124
9,2,837,124
11,0,837,124
11,0,837,124
10,1,837,124
10,1,837,124
11,0,837,124
10,1,837,124
11,0,837,124
10,1,837,124
10,1,837,124
10,1,837,124
8,3,837,124
11,0,837,124
9,2,837,124
11,0,837,124
11,0,837,124
10,1,837,124
11,0,837,124
10,1,837,124
